010B",60.000,"Installation, maintenance, and repair occupations","844","+/-512","332","1,356"
"B24010B",61.000,"Production, transportation, and material moving occupations:","12,916","+/-1,825","11,091","14,741"
"B24010B",62.000,"Production occupations","8,398","+/-1,518","6,880","9,916"
"B24010B",63.000,"Transportation and material moving occupations","4,518","+/-1,034","3,484","5,552"
"B24010C",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE A
