12","+/-1,161","4,951","7,273"
"C25032H",4.000,"5 or more units","12,144","+/-1,755","10,389","13,899"
"C25032H",5.000,"Mobile home, boat, RV, van, etc.","40,996","+/-2,891","38,105","43,887"
"C25032I",.,"UNITS IN STRUCTURE (HISPANIC OR LATINO HOUSEHOLDER)",,,,
"C25032I",.,"Universe:  Occupied housing units with a householder who is Hispanic or Latino",,,,
"C25032I",1.000,"Total:","N","N","N","N"
"C25032I",2.000,"1, detached or attached","N","N","N","N"
"C25032I",3.000,"2 to 4 units","N","N","N","N"
"C25032
