26,67,92
Electronics,869,824,45,765,651,51,116,77,396,396
Food service,242,127,115,160,142,57,19,20,133,89
Health care,"2,560",218,"2,342","1,792","1,493",629,314,426,"1,136",998
Home Economics,73,10,63,55,53,12,2,15,14,44
"Hotel, Restaurant",13,7,6,6,6,4,-,-,8,6
Marketing,67,34,33,64,60,3,4,-,21,46
Metal working,583,554,30,506,486,50,24,71,234,278
Police and protective,256,201,55,213,201,27,17,47,133,75
"Refrigeration, heating",451,448,4,353,321,72,32,50,197,204
Transportation,431,368,62,344,292,
