atino (of any race)",180,"Farming, fishing, and forestry occupations","0.5","+/-0.2","1.3","+/-0.5"
"400","Hispanic or Latino (of any race)",181,"Construction, extraction, maintenance, and repair occupations","13.8","+/-1.1","21.9","+/-3.3"
"400","Hispanic or Latino (of any race)",182,"Production, transportation, and material moving occupations","11.7","+/-1.1","18.3","+/-3.2"
"400","Hispanic or Latino (of any race)",183,"Male civilian employed population 16 years and over","213,827","+/-4,808","41,758","+/
