ELATIVE,,,,,,,,,,
..Nonrelative,"2,164",18,219,720,796,110,292,7,-,-
25 to 34 years,,,,,,,,,,
.Total,"23,867",271,"1,195","6,696","4,730","2,411","6,412","1,576",359,217
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse present,"6,432",49,228,"1,586","1,337",778,"1,772",500,117,64
..Other family householder,"1,699",34,151,635,445,166,205,49,5,10
.NONFAMILY HOUSEHOLDER,,,,,,,,,,
..Living alone,"2,597",37,96,515,460,188,942,266,57,37
..Living with nonrelatives,"1,260",6,36,281,254,117,455,73,24,13
.REL
