003",.,"TENURE",,,,
"B25003",.,"Universe:  Occupied housing units",,,,
"B25003",1.000,"Total:","1,661,033","+/-7,953","1,653,080","1,668,986"
"B25003",2.000,"Owner occupied","1,250,426","+/-10,485","1,239,941","1,260,911"
"B25003",3.000,"Renter occupied","410,607","+/-8,998","401,609","419,605"
"B25003A",.,"TENURE (WHITE ALONE HOUSEHOLDER)",,,,
"B25003A",.,"Universe:  Occupied housing units with a householder who is White alone",,,,
"B25003A",1.000,"Total:","1,263,363","+/-7,704","1,255,659","1,271,067"
"B2
