,14.000,"$30,000 to $34,999","13,830","+/-2,462","11,368","16,292"
"B20001",15.000,"$35,000 to $39,999","10,899","+/-1,978","8,921","12,877"
"B20001",16.000,"$40,000 to $44,999","10,204","+/-1,908","8,296","12,112"
"B20001",17.000,"$45,000 to $49,999","8,724","+/-1,643","7,081","10,367"
"B20001",18.000,"$50,000 to $54,999","10,844","+/-1,631","9,213","12,475"
"B20001",19.000,"$55,000 to $64,999","15,590","+/-2,095","13,495","17,685"
"B20001",20.000,"$65,000 to $74,999","12,288","+/-1,687","10,601","13,975"
