,943","140,077","143,710","147,645","150,565","153,530","156,497","156,625","156,625"
.14 to 17 years,"73,806","74,760","75,359","74,974","75,200","74,553","74,086","73,887","73,887"
.18 to 64 years,"847,941","842,180","835,010","826,630","814,784","803,150","792,423","790,283","790,283"
.18 to 24 years,"115,743","117,048","115,798","114,661","111,127","108,029","104,647","103,903","103,903"
.25 to 44 years,"346,919","350,196","354,658","358,691","362,556","366,120","369,826","370,597","370,597"
.45 to
