0.2","+/-0.1"
"400","Hispanic or Latino (of any race)",161,"Not in labor force","40.4","+/-0.7","34.8","+/-1.6"
"400","Hispanic or Latino (of any race)",162,"Females 16 years and over","394,762","+/-1,347","112,270","+/-743"
"400","Hispanic or Latino (of any race)",163,"In labor force","53.8","+/-1.2","57.3","+/-2.7"
"400","Hispanic or Latino (of any race)",164,"Civilian labor force","53.6","+/-1.2","57.2","+/-2.7"
"400","Hispanic or Latino (of any race)",165,"Employed","50.1","+/-1.2","51.4","+/-2.7"
"400"
