al population",162,"Females 16 years and over",,,"394,762","+/-1,347"
"001","Total population",163,"In labor force",,,"53.8","+/-1.2"
"001","Total population",164,"Civilian labor force",,,"53.6","+/-1.2"
"001","Total population",165,"Employed",,,"50.1","+/-1.2"
"001","Total population",166,"Unemployed",,,"3.4","+/-0.5"
"001","Total population",167,"Percent of civilian labor force",,,"6.4","+/-1.0"
"001","Total population",168,"Workers 16 years and over",,,"416,420","+/-6,523"
"001","Total population",169,"C
