4.000,"18 to 64 years","21,882","+/-4,249","17,633","26,131"
"C01001F",5.000,"65 years and over","441","+/-235","206","676"
"C01001F",6.000,"Female:","28,909","+/-4,842","24,067","33,751"
"C01001F",7.000,"Under 18 years","8,559","+/-2,361","6,198","10,920"
"C01001F",8.000,"18 to 64 years","19,186","+/-3,037","16,149","22,223"
"C01001F",9.000,"65 years and over","1,164","+/-495","669","1,659"
"C01001G",.,"SEX BY AGE (TWO OR MORE RACES)",,,,
"C01001G",.,"Universe:  Two or more races population",,,,
"C01001G",
