ther,"10,229",273,"1,756","3,749","2,862",479,892,155,43,21
.NONRELATIVE,,,,,,,,,,
..Nonrelative,"4,067",112,338,"1,570",843,265,744,122,39,34
15 to 24 years,,,,,,,,,,
.Total,"12,842",942,"4,775","2,840","3,215",392,657,15,2,4
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse present,429,12,56,169,99,29,61,0,-,2
..Other family householder,340,2,85,116,99,14,24,-,-,-
.NONFAMILY HOUSEHOLDER,,,,,,,,,,
..Living alone,533,-,54,151,167,35,115,12,-,-
..Living with nonrelatives,559,3,54,167,199,65,70,2,-,-
