 PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",,,,
"C19001H",.,"Universe:  Households with a householder who is White alone, not Hispanic or Latino",,,,
"C19001H",1.000,"Total:","15,088","+/-1,439","13,649","16,527"
"C19001H",2.000,"Less than $10,000","519","+/-421","98","940"
"C19001H",3.000,"$10,000 to $14,999","601","+/-369","232","970"
"C19001H",4.000,"$15,000 to $24,999","1,307","+/-531","776","1,838"
"C19001H",5.000,"$25,000 to $34,999","1,532",
