(of any race)",192,"Service occupations","21.4","+/-1.4","29.5","+/-3.6"
"400","Hispanic or Latino (of any race)",193,"Sales and office occupations","35.2","+/-1.5","36.8","+/-3.7"
"400","Hispanic or Latino (of any race)",194,"Farming, fishing, and forestry occupations","0.2","+/-0.2","0.1","+/-0.2"
"400","Hispanic or Latino (of any race)",195,"Construction, extraction, maintenance, and repair occupations","0.6","+/-0.3","1.0","+/-0.8"
"400","Hispanic or Latino (of any race)",196,"Production, transportation
