,"1 worker:","82,318","+/-4,021","78,297","86,339"
"B08203",14.000,"No vehicle available","4,013","+/-1,007","3,006","5,020"
"B08203",15.000,"1 vehicle available","30,281","+/-2,715","27,566","32,996"
"B08203",16.000,"2 vehicles available","35,222","+/-2,777","32,445","37,999"
"B08203",17.000,"3 vehicles available","9,598","+/-1,303","8,295","10,901"
"B08203",18.000,"4 or more vehicles available","3,204","+/-974","2,230","4,178"
"B08203",19.000,"2 workers:","47,328","+/-3,474","43,854","50,802"
"B08203",20.
