000US4600","2"," 66","       735,349","         *****","         *****"
"50000US4600","2"," 67","       722,754","       721,121","       724,387"
"50000US4600","2"," 68","       718,640","       716,408","       720,872"
"50000US4600","2"," 69","       495,442","       460,558","       530,326"
"50000US4600","2"," 70","       223,198","       188,224","       258,172"
"50000US4600","2"," 71","         4,114","         3,081","         5,147"
"50000US4600","2"," 72","        12,595","        10,962","
