plete kitchen facilities","73","+/-121","0.2","+/-0.3"
"DP04",74.0,"No telephone service available","1,131","+/-603","2.4","+/-1.3"
"DP04",74.3,,,,,
"DP04",74.5,"OCCUPANTS PER ROOM",,,,
"DP04",75.0,"Occupied housing units","47,961","+/-2,666","100","(X)"
"DP04",76.0,"1.00 or less","46,953","+/-2,658","97.9","+/-1.3"
"DP04",77.0,"1.01 to 1.50","879","+/-614","1.8","+/-1.3"
"DP04",78.0,"1.51 or more","129","+/-153","0.3","+/-0.3"
"DP04",78.3,,,,,
"DP04",78.5,"VALUE",,,,
"DP04",79.0,"Owner-occupied units","34,
