, and repair occupations","340","+/-229","111","569"
"C24010H",15.000,"Production, transportation, and material moving occupations","915","+/-419","496","1,334"
"C24010I",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (HISPANIC OR LATINO)",,,,
"C24010I",.,"Universe:  Civilian employed Hispanic or Latino population 16 years and over",,,,
"C24010I",1.000,"Total:","83,982","+/-2,817","81,165","86,799"
"C24010I",2.000,"Male:","49,027","+/-1,716","47,311","50,743"
"C24010I",3.000,"Ma
