,5.000,"$100 to $199","4,345","+/-1,150","3,195","5,495"
"B25122",6.000,"$200 to $299","2,704","+/-806","1,898","3,510"
"B25122",7.000,"$300 to $399","2,117","+/-718","1,399","2,835"
"B25122",8.000,"$400 to $499","2,485","+/-758","1,727","3,243"
"B25122",9.000,"$500 to $599","2,503","+/-908","1,595","3,411"
"B25122",10.000,"$600 to $699","2,559","+/-917","1,642","3,476"
"B25122",11.000,"$700 to $799","3,485","+/-938","2,547","4,423"
"B25122",12.000,"$800 to $899","2,836","+/-954","1,882","3,790"
"B25122",13
