00 to $34,999","4,925","+/-1,032","14.0","+/-2.8"
"DP03",57.0,"$35,000 to $49,999","6,922","+/-1,360","19.7","+/-3.8"
"DP03",58.0,"$50,000 to $74,999","9,197","+/-1,369","26.1","+/-3.7"
"DP03",59.0,"$75,000 to $99,999","3,477","+/-855","9.9","+/-2.4"
"DP03",60.0,"$100,000 to $149,999","1,894","+/-535","5.4","+/-1.5"
"DP03",61.0,"$150,000 to $199,999","334","+/-225","0.9","+/-0.6"
"DP03",62.0,"$200,000 or more","183","+/-158","0.5","+/-0.5"
"DP03",63.0,"Median household income (dollars)","43,062","+/-3,088",
