.000,"Arts, entertainment, and recreation, and accommodation and food services:","N","N","N","N"
"B24070",24.000,"Arts, entertainment, and recreation","N","N","N","N"
"B24070",25.000,"Accommodation and food services","N","N","N","N"
"B24070",26.000,"Other services, except public administration","N","N","N","N"
"B24070",27.000,"Public administration","N","N","N","N"
"B24070",28.000,"Employee of private company workers:","N","N","N","N"
"B24070",29.000,"Agriculture, forestry, fishing and hunting, and mining:"
