199,999","95,882","+/-3,923","91,959","99,805"
"B25096",7.000,"$200,000 to $299,999","178,039","+/-6,886","171,153","184,925"
"B25096",8.000,"$300,000 to $499,999","297,313","+/-6,792","290,521","304,105"
"B25096",9.000,"$500,000 or more","270,529","+/-6,204","264,325","276,733"
"B25096",10.000,"Not mortgaged:","286,738","+/-5,879","280,859","292,617"
"B25096",11.000,"Less than $50,000","27,766","+/-2,418","25,348","30,184"
"B25096",12.000,"$50,000 to $99,999","28,974","+/-2,287","26,687","31,261"
"B25096",
