","28.5%","2.4",
"DP04",32.0,"6 rooms","20.5%","2.1","19.3%","2.0",
"DP04",33.0,"7 rooms","9.6%","1.6","11.4%","1.2",
"DP04",34.0,"8 rooms","5.1%","1.0","5.5%","1.0",
"DP04",35.0,"9 rooms or more","4.7%","1.1","4.4%","1.0",
"DP04",36.0,"Median (rooms)","5.2","**","5.2","**",
"DP04",36.3,,,,,,
"DP04",36.5,"BEDROOMS",,,,,
"DP04",37.0,"Total housing units","42,596","68","42,149","91","*"
"DP04",38.0,"No bedroom","0.8%","0.4","0.7%","0.5",
"DP04",39.0,"1 bedroom","4.7%","1.0","6.2%","1.6",
"DP04",40.0,"2 bedroo
