 moving workers, and other transportation workers except motor vehicle operators","-","**","**","**"
"B24012",73.000,"Motor vehicle operators","65,782","+/-44,945","20,837","110,727"
"B24012",74.000,"Material moving workers","18,149","+/-4,456","13,693","22,605"
"B24020",.,"SEX BY OCCUPATION FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,
"B24020",.,"Universe:  Full-time, year-round civilian employed population 16 years and over",,,,
"B24020",1.000,"Total:","N","N","N","N"
