,999","5,993","+/-1,090","4,903","7,083"
"B19325",20.000,"$45,000 to $49,999","4,422","+/-1,114","3,308","5,536"
"B19325",21.000,"$50,000 to $54,999","6,100","+/-1,202","4,898","7,302"
"B19325",22.000,"$55,000 to $64,999","8,591","+/-1,523","7,068","10,114"
"B19325",23.000,"$65,000 to $74,999","6,083","+/-1,189","4,894","7,272"
"B19325",24.000,"$75,000 to $99,999","7,027","+/-1,177","5,850","8,204"
"B19325",25.000,"$100,000 or more","4,407","+/-998","3,409","5,405"
"B19325",26.000,"Other:","146,142","+/-3,4
