53,295",99.1,"51,145",99.0
,,,,,,
".White alone, not Hispanic or Latino","101,113",95.9,"52,238",97.2,"48,875",94.6
,,,,,,
.Race alone or in combination with one or more other races:    1/,,,,,,
,,,,,,
.White,"102,217",97.0,"52,764",98.2,"49,453",95.8
.Black or African American,"1,833",1.7,506,0.9,"1,327",2.6
.American Indian and Alaska Native,656,0.6,256,0.5,400,0.8
.Asian,788,0.7,271,0.5,517,1.0
.Native Hawaiian and Other Pacific Islander,17,-,6,-,11,-
.Some other race,543,0.5,246,0.5,297,0.6
,,,,,,
CLASS
