ULA,MT,46.87,-113.99,A LARGE TREE WAS BLOWN DOWN ONTO A HOUSE ON RIVER ROAD AND CAUSED ROOF DAMAGE. A SECOND LARGE TREE WAS BLOWN DOWN ON BANCROFT ROAD. (MSO)
2300,71,15 E SHELBY,TOOLE,MT,48.51,-111.53,71 MPH WIND GUST MEASURED AT CROOKED COULEE MCSCN SENSOR. (TFX)
2305,UNK,CERES,BLAND,VA,37.02,-81.35,LARGE TREE DOWN (RNK)
2315,UNK,1 W BLAND,BLAND,VA,37.1,-81.13,LARGE APPLE TREES DOWN (RNK)
2316,UNK,NOTTINGHAM,ROCKINGHAM,NH,43.11,-71.1,LARGE TREETOP BRANCHES SNAPPED (GYX)
2336,UNK,MAX MEADOWS,WYTHE,VA,36.97
