
"Research, Development, Test, and Evaluation", 20 , 11 , 12 , 12 , 13 , 15 , 17 , 19 , 15 , 14 , 14 , 12 , 11 , 13 , 9 , 11 , 13 ,,,
Boat Safety, 29 , 48 , 48 , 42 , 59 , 60 , 70 , 70 , 70 , 72 , 58 , 50 , 45 , 55 , 64 , 64 , 64 ,,,
Alteration of Bridges, 14 , 5 , – , 1 , 14 , 2 , 4 , 11 , 13 , 13 , – , 16 , 16 , 17 , 38 , 15 , 15 ,,,
Pollution Fund, 7 , 4 , 5 , 5 , 31 , 49 , – , – , – , – , – , – , – , – , – , – , – ,,,
Environmental compliance and restoration, – , – , – , – , – , – , 22 , 22 , 22 , 
