"Central America:",213,"Unpaid family workers","0.2","+/-0.1","0.1","+/-0.2"
"716","Central America:",214,"Households","374,739","+/-4,285","34,058","+/-2,448"
"716","Central America:",215,"Median household income (dollars)","43,546","+/-1,492","29,041","+/-2,206"
"716","Central America:",216,"With earnings","75.9","+/-0.8","88.7","+/-2.4"
"716","Central America:",217,"Mean earnings (dollars)","58,111","+/-1,387","40,918","+/-4,170"
"716","Central America:",218,"With Social Security income","31.0","+/-0.7",
