       "(17)",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "63",          4528,          9491,         13274,         12928,         25254,          8182,         17345,         51696,
  "64",          2002,          3753,          4583,          4824,          8590,          8380,         15958,         21241,
  "65",        "(17)",        "(17)",        "(17)",        "(17)",        "(17)",        "(17)",        "(17
