 (032-045)",291,"Renter-occupied housing units","135,979","+/-4,471","23,042","+/-2,258"
"535","German (032-045)",292,"Less than 30 percent","50.4","+/-2.6","51.1","+/-5.7"
"535","German (032-045)",293,"30 percent or more","49.6","+/-2.6","48.9","+/-5.7"
"535","German (032-045)",294,"Median gross rent (dollars)","710","+/-22","760","+/-40"
"541","Irish (050, 081)",1,"Total population","967,089","*****","108,355","+/-6,916"
"541","Irish (050, 081)",2,"One race","96.8","+/-0.5","97.7","+/-1.1"
"541","Irish (0
