778 ","12,878 "
Kane,Illinois,"317,471 ","319,491 ","325,727 ","332,476 ","339,619 ","346,687 ","356,995 ","366,912 ","376,725 ","386,103 ","396,371 ","404,119 "
Kankakee,Illinois,"96,255 ","96,560 ","97,598 ","99,215 ","100,766 ","101,736 ","101,923 ","102,296 ","102,951 ","103,222 ","103,675 ","103,833 "
Kendall,Illinois,"39,413 ","39,508 ","40,290 ","41,006 ","42,008 ","43,579 ","44,924 ","47,218 ","49,153 ","51,025 ","52,845 ","54,544 "
Knox,Illinois,"56,393 ","56,380 ","56,412 ","56,464 ","56,580 ","56
