,000 or more","8,695","+/-1,347","7,348","10,042"
"C20005A",.,"SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (WHITE ALONE)",,,,
"C20005A",.,"Universe:  White alone population 16 years and over",,,,
"C20005A",1.000,"Total:","351,782","+/-4,867","346,915","356,649"
"C20005A",2.000,"Male:","174,872","+/-3,090","171,782","177,962"
"C20005A",3.000,"Worked full-time, year-round in the past 12 months:","92,53
