,"1,482,904","503,161"
.25 to 34 years ,"12,818,744","47,248","11,346","23,625","128,801","183,286","293,151","323,712","385,840"
.35 to 44 years ,"16,014,154","73,684","14,996","34,668","176,153","236,955","376,989","382,571","471,441"
.45 to 54 years ,"13,818,218","69,627","22,488","55,976","212,626","186,725","254,205","226,790","304,754"
.55 to 64 years ,"9,025,030","57,233","33,115","82,818","330,824","220,414","288,697","211,669","244,794"
.65 to 74 years ,"6,743,219","65,110","53,729","124,898",
