.0,"Under 18 years","9.2","+/-1.8","(X)","(X)"
"DP03",107.0,"Related children under 18 years","9.0","+/-1.8","(X)","(X)"
"DP03",108.0,"Related children under 5 years","12.3","+/-3.2","(X)","(X)"
"DP03",109.0,"Related children 5 to 17 years","7.7","+/-1.9","(X)","(X)"
"DP03",110.0,"18 years and over","7.4","+/-0.7","(X)","(X)"
"DP03",111.0,"18 to 64 years","7.5","+/-0.8","(X)","(X)"
"DP03",112.0,"65 years and over","6.8","+/-1.4","(X)","(X)"
"DP03",113.0,"People in families","5.1","+/-0.9","(X)","(X)"
"DP03"
