05I",.,"Universe:  Hispanic or Latino workers 16 years and over",,,,
"C08105I",1.000,"Total:","80,954","+/-2,731","78,223","83,685"
"C08105I",2.000,"Car, truck, or van - drove alone","48,884","+/-3,606","45,278","52,490"
"C08105I",3.000,"Car, truck, or van - carpooled","11,198","+/-2,524","8,674","13,722"
"C08105I",4.000,"Public transportation (excluding taxicab)","12,244","+/-2,179","10,065","14,423"
"C08105I",5.000,"Taxicab, motorcycle, bicycle, walked, or other means","6,554","+/-3,321","3,233","9,875"
"
