",14.000,"Construction, extraction, maintenance, and repair occupations","1,221","+/-598","623","1,819"
"C24010H",15.000,"Production, transportation, and material moving occupations","4,004","+/-988","3,016","4,992"
"C24010I",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (HISPANIC OR LATINO)",,,,
"C24010I",.,"Universe:  Civilian employed Hispanic or Latino population 16 years and over",,,,
"C24010I",1.000,"Total:","N","N","N","N"
"C24010I",2.000,"Male:","N","N","N","N"
"C24010I
