ntenance, and repair occupations:","N","N","N","N"
"C24060",56.000,"Construction and extraction occupations","N","N","N","N"
"C24060",57.000,"Installation, maintenance, and repair occupations","N","N","N","N"
"C24060",58.000,"Production, transportation, and material moving occupations:","N","N","N","N"
"C24060",59.000,"Production occupations","N","N","N","N"
"C24060",60.000,"Transportation and material moving occupations","N","N","N","N"
"C24060",61.000,"Self-employed in own incorporated business workers:",
