506,124.3, ,,,,,,,,,,,,,,
S0506,125,Occupied housing units,1294292,+/-13985,654987,+/-9333,54553,+/-3720,52941,+/-3959,377565,+/-8062,169928,+/-5694,,
S0506,125.5,HOUSING TENURE,,,,,,,,,,,,,,
S0506,126,Owner-occupied housing units,31.6,+/-0.6,26.0,+/-0.9,5.5,+/-1.7,17.4,+/-2.9,26.7,+/-1.1,33.8,+/-1.8,,
S0506,127,Renter-occupied housing units,68.4,+/-0.6,74.0,+/-0.9,94.5,+/-1.7,82.6,+/-2.9,73.3,+/-1.1,66.2,+/-1.8,,
S0506,127.3, ,,,,,,,,,,,,,,
S0506,128,Average household size of owner-occupied unit,3.41,+/-0.
