,499","1,567","+/-870","697","2,437"
"B20005F",38.000,"$22,500 to $24,999","523","+/-381","142","904"
"B20005F",39.000,"$25,000 to $29,999","1,219","+/-659","560","1,878"
"B20005F",40.000,"$30,000 to $34,999","616","+/-423","193","1,039"
"B20005F",41.000,"$35,000 to $39,999","1,138","+/-479","659","1,617"
"B20005F",42.000,"$40,000 to $44,999","130","+/-150","0","280"
"B20005F",43.000,"$45,000 to $49,999","471","+/-432","39","903"
"B20005F",44.000,"$50,000 to $54,999","438","+/-286","152","724"
"B20005F",45.
