000,"Male:","39,186","+/-2,787","36,399","41,973"
"B18035",25.000,"16 to 20 years:","5,683","+/-1,305","4,378","6,988"
"B18035",26.000,"Income in the past 12 months below the poverty level","437","+/-386","51","823"
"B18035",27.000,"Income in the past 12 months at or above the poverty level","5,246","+/-1,262","3,984","6,508"
"B18035",28.000,"21 to 64 years:","28,362","+/-2,527","25,835","30,889"
"B18035",29.000,"Income in the past 12 months below the poverty level","2,177","+/-867","1,310","3,044"
"B18035"
