C24010D",.,"Universe:  Civilian employed Asian alone population 16 years and over",,,,
"C24010D",1.000,"Total:","93,569","+/-2,419","91,150","95,988"
"C24010D",2.000,"Male:","48,220","+/-1,725","46,495","49,945"
"C24010D",3.000,"Management, professional, and related occupations","20,328","+/-1,945","18,383","22,273"
"C24010D",4.000,"Service occupations","6,190","+/-1,425","4,765","7,615"
"C24010D",5.000,"Sales and office occupations","14,117","+/-2,269","11,848","16,386"
"C24010D",6.000,"Farming, fishing, a
