S0601",20.3,,,,,,,,,,,,,
"S0601",21.0,"Hispanic or Latino origin (of any race)","N","N","N","N","N","N","N","N",,,,
"S0601",22.0,"White alone, not Hispanic or Latino","51.0","+/-0.3","48.6","+/-1.1","70.0","+/-6.4","82.9","+/-26.5",,,,
"S0601",22.3,,,,,,,,,,,,,
"S0601",22.5,"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH",,,,,,,,,,,,
"S0601",23.0,"Population 5 years and over","95,324","*****","82,306","+/-1,535","11,552","+/-1,516","426","+/-293",,,,
"S0601",24.0,"Speak language other than English","3
