000 to $74,999","135,954","+/-5,804","130,150","141,758"
"C19037",20.000,"$75,000 to $99,999","105,564","+/-4,966","100,598","110,530"
"C19037",21.000,"$100,000 to $149,999","119,457","+/-5,073","114,384","124,530"
"C19037",22.000,"$150,000 to $199,999","42,871","+/-3,425","39,446","46,296"
"C19037",23.000,"$200,000 or more","35,195","+/-2,569","32,626","37,764"
"C19037",24.000,"Householder 45 to 64 years:","691,257","+/-6,009","685,248","697,266"
"C19037",25.000,"Less than $10,000","21,025","+/-2,242","18,
