wn and not available,
Crimes of violence,"1,207,340",,100,%,66.7,%,13.2,%,16.6,%,3.5,%
   Completed violence,"531,200",,100,,72.7,,10.6,,16.7,,0,*
   Attempted/threatened violence,"676,140",,100,,62,,15.2,,16.6,,6.3,
   Rape/Sexual assault/a,"38,520",,100,,89.6,*,0,*,10.4,*,0,*
   Robbery,"328,990",,100,,83.9,,4.4,*,10.9,*,0.8,*
      Completed/property taken,"242,820",,100,,79.3,,6,*,14.7,*,0,*
         With injury,"124,700",,100,,77.1,,11.7,*,11.3,*,0,*
         Without injury,"118,120",,100,,81.6
