6,525","96,482","49,760","37,466",
.45 to 54 years ,"174,139","39,948","104,621","51,356","143,410","83,492","39,849","33,998",
.55 to 64 years ,"118,936","24,520","64,718","26,196","79,533","50,781","26,193","25,435",
.65 to 74 years ,"86,819","16,043","43,920","14,838","47,747","28,200","21,333","16,632",
.75 and over ,"75,062","12,790","35,094","7,281","30,212","16,022","15,907","10,506",
,,,,,,,,,
Immigrated before 1990 ,"733,010","166,284","417,850","164,661","437,834","218,059","121,055","93,695
