CCUPATION FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,
"C24020",.,"Universe:  Full-time, year-round civilian employed population 16 years and over",,,,
"C24020",1.000,"Total:","31,160","+/-3,072","28,088","34,232"
"C24020",2.000,"Male:","16,252","+/-1,994","14,258","18,246"
"C24020",3.000,"Management, professional, and related occupations:","4,521","+/-902","3,619","5,423"
"C24020",4.000,"Management, business, and financial occupations:","2,339","+/-633","1,706","2,972"
