5A",.,"NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE)",,,,
"B16005A",.,"Universe:  White alone population 5 years and over",,,,
"B16005A",1.000,"Total:","3,065,968","+/-11,454","3,054,514","3,077,422"
"B16005A",2.000,"Native:","2,860,327","+/-11,296","2,849,031","2,871,623"
"B16005A",3.000,"Speak only English","2,748,585","+/-12,613","2,735,972","2,761,198"
"B16005A",4.000,"Speak Spanish:","65,971","+/-4,447","61,524","70,418"
"B16005A",5.00
