,327","97,966","98,782","98,781"
.10 to 14 years,"95,963","98,273","99,754","99,971","102,159","102,449","102,446"
.15 to 19 years,"102,495","103,154","104,557","106,833","109,968","110,650","110,644"
.20 to 24 years,"112,353","112,903","111,625","107,947","101,301","99,762","99,760"
.25 to 29 years,"93,136","88,217","85,130","84,828","86,622","87,001","87,001"
.30 to 34 years,"86,836","88,470","89,789","91,039","91,099","91,223","91,222"
.35 to 39 years,"93,872","96,246","99,951","104,428","108,374",
