,7.000,"Transportation and warehousing, and utilities","123,699","+/-4,256","119,443","127,955"
"C08526",8.000,"Information and finance and insurance, and real estate and rental and leasing","268,886","+/-7,819","261,067","276,705"
"C08526",9.000,"Professional, scientific, and management, and administrative and waste management services","248,937","+/-6,890","242,047","255,827"
"C08526",10.000,"Educational services, and health care and social assistance","603,466","+/-10,121","593,345","613,587"
"C08526",11
