/,inq21997.tgz,976182.nc,19970505,-35.1000,22.6000,0.700000,760.100,9.87000,22.5400,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,976183.nc,19970505,-35.2500,20.9667,0.700000,596.500,10.4400,17.8300,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,986871.nc,19970625,19.5033,58.9400,0.700000,836.100,10.5100,26.1000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,986872.nc,19970625,18.6667,58.4533,0.700000,836.100,11.9000,25.6300,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997
