","N"
"C19001I",11.000,"$200,000 or more","N","N","N","N"
"C19037",.,"AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,,
"C19037",.,"Universe:  Households",,,,
"C19037",1.000,"Total:","236,700","+/-3,436","233,264","240,136"
"C19037",2.000,"Householder under 25 years:","10,234","+/-1,426","8,808","11,660"
"C19037",3.000,"Less than $10,000","2,669","+/-851","1,818","3,520"
"C19037",4.000,"$10,000 to $14,999","1,112","+/-533","579","1,645"
"C19037",5.000,"$1
