ne",285,"Owner-occupied housing units","189,071","+/-4,794","166,913","+/-4,426"
"002","White alone",286,"Less than 30 percent","64.0","+/-1.8","64.9","+/-1.9"
"002","White alone",287,"30 percent or more","36.0","+/-1.8","35.1","+/-1.9"
"002","White alone",288,"Median value (dollars)","297,700","+/-7,259","303,500","+/-6,800"
"002","White alone",289,"Median selected monthly owner costs with a mortgage (dollars)","1,636","+/-38","1,634","+/-41"
"002","White alone",290,"Median selected monthly owner costs wit
