000,"55 to 64 years","0","+/-303","0","303"
"B17001D",29.000,"65 to 74 years","0","+/-303","0","303"
"B17001D",30.000,"75 years and over","67","+/-106","0","173"
"B17001D",31.000,"Income in the past 12 months at or above poverty level:","28,421","+/-3,516","24,905","31,937"
"B17001D",32.000,"Male:","14,293","+/-2,002","12,291","16,295"
"B17001D",33.000,"Under 5 years","1,099","+/-610","489","1,709"
"B17001D",34.000,"5 years","559","+/-418","141","977"
"B17001D",35.000,"6 to 11 years","1,417","+/-562","855",
