3",.,"Universe: Households",,,,
"B19083",1.000,"Gini Index","0.426","+/-0.0294","0.397","0.455"
"B19101",.,"FAMILY INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,,
"B19101",.,"Universe:  Families",,,,
"B19101",1.000,"Total:","25,446","+/-1,627","23,819","27,073"
"B19101",2.000,"Less than $10,000","1,334","+/-691","643","2,025"
"B19101",3.000,"$10,000 to $14,999","957","+/-409","548","1,366"
"B19101",4.000,"$15,000 to $19,999","423","+/-314","109","737"
"B19101",5.000,"$20,000 to $24,99
