 ,CWT ,691471000
2007 ,501199 ,MILK MARKET FLUID ,31 ,Kings ,  ,  ,38467560 ,17.83 ,CWT ,685877000
2007 ,501199 ,MILK MARKET FLUID ,39 ,Madera ,  ,  ,16026121 ,17.94 ,CWT ,287543000
2007 ,501199 ,MILK MARKET FLUID ,41 ,Marin ,  ,  ,2063773 ,18.86 ,CWT ,38922800
2007 ,501199 ,MILK MARKET FLUID ,45 ,Mendocino ,  ,  ,316786 ,19.58 ,CWT ,6202700
2007 ,501199 ,MILK MARKET FLUID ,47 ,Merced ,  ,  ,53983671 ,18.17 ,CWT ,980883000
2007 ,501199 ,MILK MARKET FLUID ,53 ,Monterey ,  ,  ,310000 ,18.66 ,CWT ,578500
