S) FOR THE POPULATION 16 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"C20005H",.,"Universe:  White alone, not Hispanic or Latino population 16 years and over",,,,
"C20005H",1.000,"Total:","400,579","+/-9,147","391,432","409,726"
"C20005H",2.000,"Male:","194,516","+/-5,989","188,527","200,505"
"C20005H",3.000,"Worked full-time, year-round in the past 12 months:","98,256","+/-5,229","93,027","103,485"
"C20005H",4.000,"No earnings","0","+/-303","0","303"
"C20005H",5.000,"With earnings:","98,256",
