professional, and related occupations","49,417","+/-2,511","46,906","51,928"
"C24010H",4.000,"Service occupations","8,646","+/-1,712","6,934","10,358"
"C24010H",5.000,"Sales and office occupations","18,359","+/-2,066","16,293","20,425"
"C24010H",6.000,"Farming, fishing, and forestry occupations","126","+/-152","0","278"
"C24010H",7.000,"Construction, extraction, maintenance, and repair occupations","10,035","+/-1,957","8,078","11,992"
"C24010H",8.000,"Production, transportation, and material moving occupati
