1997/q2/,inq21997.tgz,960135.nc,19970630,28.4167,50.1667,0.00000,38.0000,21.2000,31.8000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,938236.nc,19970408,6.1667,96.3667,0.00000,184.000,13.2000,29.6000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,926358.nc,19970402,8.1000,97.2333,0.00000,486.800,10.4000,30.1000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1141215.nc,19970404,27.2333,52.2667,2.00000,76.0000,20.7000,21.0000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997
