le and mobile equipment mechanics, installers, and repairers","3,789","+/-1,151","2,638","4,940"
"B24010",106.000,"Electrical equipment mechanics and other installation, maintenance, and repair occupations including supervisors","5,644","+/-1,254","4,390","6,898"
"B24010",107.000,"Production, transportation, and material moving occupations:","27,342","+/-3,026","24,316","30,368"
"B24010",108.000,"Production occupations:","8,838","+/-1,709","7,129","10,547"
"B24010",109.000,"Assemblers and fabricators","1,24
