n of Error",,,,,,
"S2501",1.0,"Occupied housing units","19,563,060","+/-28,096","13,754,554","+/-42,673","5,808,506","+/-31,725",,,,,,
"S2501",1.5,"HOUSEHOLD SIZE",,,,,,,,,,,,
"S2501",2.0,"1-person household","28.5","+/-0.2","22.1","+/-0.2","43.4","+/-0.4",,,,,,
"S2501",3.0,"2-person household","33.1","+/-0.1","36.1","+/-0.2","26.2","+/-0.3",,,,,,
"S2501",4.0,"3-person household","15.2","+/-0.1","15.9","+/-0.1","13.7","+/-0.2",,,,,,
"S2501",5.0,"4-or-more-person household","23.2","+/-0.1","25.9","+/-0.1","1
