ulture, forestry, fishing and hunting","0","+/-292","0","292"
"B24050",85.000,"Mining","0","+/-292","0","292"
"B24050",86.000,"Construction","1,784","+/-707","1,077","2,491"
"B24050",87.000,"Manufacturing","4,903","+/-1,069","3,834","5,972"
"B24050",88.000,"Wholesale trade","5,745","+/-1,380","4,365","7,125"
"B24050",89.000,"Retail trade","29,702","+/-3,314","26,388","33,016"
"B24050",90.000,"Transportation and warehousing, and utilities:","7,954","+/-1,663","6,291","9,617"
"B24050",91.000,"Transportation a
