on, maintenance, and repair occupations:","30,775","+/-2,732","28,043","33,507"
"B24050",137.000,"Agriculture, forestry, fishing and hunting, and mining:","11,577","+/-1,960","9,617","13,537"
"B24050",138.000,"Agriculture, forestry, fishing and hunting","32","+/-52","0","84"
"B24050",139.000,"Mining","11,545","+/-1,945","9,600","13,490"
"B24050",140.000,"Construction","8,866","+/-1,521","7,345","10,387"
"B24050",141.000,"Manufacturing","1,087","+/-578","509","1,665"
"B24050",142.000,"Wholesale trade","768",
