)","(X)","(X)","(X)","(X)",,,,
"S1401",0.0,,,,,,,,,,,,,
"S1401",0.5,,,,"Percent of enrolled population",,,,,,,,,
"S1401",0.7,,"Total","Margin of Error","In public school","Margin of Error","In private school","Margin of Error",,,,,,
"S1401",1.0,"Population 3 years and over enrolled in school","13,897,459","+/-30,353","81.5","+/-0.2","18.5","+/-0.2",,,,,,
"S1401",2.0,"Nursery school, preschool","866,960","+/-12,832","55.3","+/-0.8","44.7","+/-0.8",,,,,,
"S1401",3.0,"Kindergarten","689,202","+/-13,908","84.3"
